,Month,Day of The Week,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours,reason_1,reason_2,reason_3,reason_4
66,10,4,179,51,38,253.465,31,0,0,0,3,0,0,0,1
67,10,4,225,26,28,253.465,24,0,1,2,3,0,0,0,1
68,10,1,118,10,37,253.465,28,0,0,0,3,0,0,0,1
69,10,2,225,26,28,253.465,24,0,1,2,2,0,0,0,1
70,10,2,248,25,47,253.465,32,0,2,1,2,0,0,0,1
71,10,3,291,31,40,253.465,25,0,1,1,5,0,0,0,1
72,10,2,179,51,38,253.465,31,0,0,0,8,0,0,0,1
73,10,2,225,26,28,253.465,24,0,1,2,3,0,0,0,1
74,10,3,260,50,36,253.465,23,0,4,0,16,0,0,1,0
75,10,1,291,31,40,253.465,25,0,1,1,8,1,0,0,0
76,10,1,225,26,28,253.465,24,0,1,2,2,0,0,0,1
77,10,2,289,36,33,253.465,30,0,2,1,8,0,0,0,1
78,10,4,361,52,28,253.465,27,0,1,4,1,0,0,0,1
79,10,4,260,50,36,253.465,23,0,4,0,3,0,0,0,1
80,11,3,179,51,38,306.345,31,0,0,0,1,0,0,0,1
81,11,2,225,26,28,306.345,24,0,1,2,1,0,0,0,1
82,11,3,179,51,38,306.345,31,0,0,0,8,1,0,0,0
83,11,3,179,22,40,306.345,22,1,2,0,8,0,0,1,0
84,11,3,291,31,40,306.345,25,0,1,1,5,0,0,0,1
85,11,0,155,12,34,306.345,25,0,2,0,32,1,0,0,0
86,11,0,189,29,33,306.345,25,0,2,2,8,0,0,0,1
87,11,0,291,31,40,306.345,25,0,1,1,40,1,0,0,0
88,11,2,225,26,28,306.345,24,0,1,2,1,0,0,0,1
89,11,4,155,12,34,306.345,25,0,2,0,8,1,0,0,0
90,11,2,225,26,28,306.345,24,0,1,2,3,0,0,0,1
91,11,2,179,22,40,306.345,22,1,2,0,8,0,0,1,0
92,11,4,225,26,28,306.345,24,0,1,2,3,1,0,0,0
93,11,4,260,50,36,306.345,23,0,4,0,4,0,0,0,1
94,11,0,248,25,47,306.345,32,0,2,1,1,0,0,0,1
95,11,1,225,26,28,306.345,24,0,1,2,3,0,0,0,1
96,11,2,289,36,33,306.345,30,0,2,1,24,1,0,0,0
97,11,3,291,31,40,306.345,25,0,1,1,3,0,0,0,1
98,12,1,248,25,47,261.306,32,0,2,1,1,0,0,0,1
99,12,1,118,10,37,261.306,28,0,0,0,64,0,0,1,0
100,12,2,118,13,50,261.306,31,0,1,0,2,0,0,0,1
101,12,2,235,11,37,261.306,29,1,1,1,8,0,0,0,1
102,12,3,225,26,28,261.306,24,0,1,2,2,0,0,0,1
103,12,4,260,50,36,261.306,23,0,4,0,8,0,0,0,1
104,12,1,118,10,37,261.306,28,0,0,0,56,0,0,1,0
105,12,2,361,52,28,261.306,27,0,1,4,8,0,0,0,1
106,12,3,225,26,28,261.306,24,0,1,2,3,0,0,0,1
107,12,4,260,50,36,261.306,23,0,4,0,3,0,0,0,1
108,12,1,225,26,28,261.306,24,0,1,2,2,0,0,0,1
109,12,2,361,52,28,261.306,27,0,1,4,8,0,0,0,1
110,12,4,118,10,37,261.306,28,0,0,0,2,0,0,0,1
111,12,4,246,25,41,261.306,23,0,0,0,8,0,0,1,0
112,12,4,225,26,28,261.306,24,0,1,2,2,0,0,0,1
113,1,2,225,26,28,308.593,24,0,1,2,1,0,0,0,1
114,1,0,118,10,37,308.593,28,0,0,0,1,0,0,1,0
115,1,1,118,10,37,308.593,28,0,0,0,1,0,0,0,1
116,1,1,155,12,34,308.593,25,0,2,0,8,0,0,1,0
117,1,2,225,26,28,308.593,24,0,1,2,2,0,0,0,1
118,1,3,184,42,27,308.593,21,0,0,0,2,0,0,0,1
119,1,3,225,26,28,308.593,24,0,1,2,2,0,0,0,1
120,1,4,225,26,28,308.593,24,0,1,2,1,0,0,0,1
121,1,0,118,10,37,308.593,28,0,0,0,2,0,0,0,1
122,1,1,225,26,28,308.593,24,0,1,2,2,0,0,0,1
123,1,1,118,10,37,308.593,28,0,0,0,2,0,0,0,1
124,1,2,118,10,37,308.593,28,0,0,0,2,0,0,0,1
125,1,3,118,10,37,308.593,28,0,0,0,2,0,0,0,1
126,1,4,118,10,37,308.593,28,0,0,0,2,0,0,0,1
127,1,0,118,10,37,308.593,28,0,0,0,2,0,0,0,1
128,1,1,118,10,37,308.593,28,0,0,0,2,0,0,0,1
129,1,1,179,26,30,308.593,19,1,0,0,8,0,0,1,0
130,1,1,289,36,33,308.593,30,0,2,1,8,0,0,1,0
131,1,2,118,10,37,308.593,28,0,0,0,2,0,0,0,1
132,1,3,184,42,27,308.593,21,0,0,0,2,0,0,0,1
133,1,3,118,10,37,308.593,28,0,0,0,2,0,0,0,1
134,1,0,118,10,37,308.593,28,0,0,0,0,0,0,0,1
135,1,1,225,26,28,308.593,24,0,1,2,1,0,0,0,1
136,1,3,289,36,33,308.593,30,0,2,1,3,0,0,0,1
137,2,4,184,42,27,302.585,21,0,0,0,1,0,0,0,1
138,2,2,246,25,41,302.585,23,0,0,0,8,1,0,0,0
139,2,2,179,51,38,302.585,31,0,0,0,8,1,0,0,0
140,2,3,155,12,34,302.585,25,0,2,0,2,0,0,0,1
141,2,3,189,29,33,302.585,25,0,2,2,8,0,0,0,1
142,2,4,260,50,36,302.585,23,0,4,0,2,0,0,0,1
143,2,4,289,36,33,302.585,30,0,2,1,8,0,0,0,1
144,2,0,388,15,50,302.585,24,0,0,0,8,1,0,0,0
145,2,1,388,15,50,302.585,24,0,0,0,8,1,0,0,0
146,2,0,225,26,28,302.585,24,0,1,2,2,0,0,0,1
147,2,1,225,26,28,302.585,24,0,1,2,2,0,0,0,1
148,2,1,179,26,30,302.585,19,1,0,0,1,0,0,0,1
149,2,1,184,42,27,302.585,21,0,0,0,8,0,0,0,1
150,2,3,225,26,28,302.585,24,0,1,2,3,0,0,0,1
151,2,0,330,16,28,302.585,25,1,0,0,8,0,0,1,0
152,2,1,330,16,28,302.585,25,1,0,0,1,0,0,0,1
153,2,2,225,26,28,302.585,24,0,1,2,1,0,0,0,1
154,2,3,189,29,33,302.585,25,0,2,2,8,0,0,1,0
155,3,1,291,50,32,343.25300000000004,23,0,0,0,2,0,0,0,1
156,3,1,260,50,36,343.25300000000004,23,0,4,0,8,0,0,1,0
157,3,1,157,27,29,343.25300000000004,22,0,0,0,3,0,0,1,0
158,3,1,179,22,40,343.25300000000004,22,1,2,0,8,0,1,0,0
159,3,2,291,31,40,343.25300000000004,25,0,1,1,8,0,0,0,1
160,3,2,260,50,36,343.25300000000004,23,0,4,0,8,1,0,0,0
161,3,3,179,26,30,343.25300000000004,19,1,0,0,8,1,0,0,0
162,3,4,248,25,47,343.25300000000004,32,0,2,1,3,1,0,0,0
163,3,4,260,50,36,343.25300000000004,23,0,4,0,40,1,0,0,0
164,3,0,179,22,40,343.25300000000004,22,1,2,0,40,1,0,0,0
165,3,0,155,12,34,343.25300000000004,25,0,2,0,16,1,0,0,0
166,3,0,260,50,36,343.25300000000004,23,0,4,0,16,0,0,0,1
167,3,1,155,12,34,343.25300000000004,25,0,2,0,8,1,0,0,0
168,3,3,289,36,33,343.25300000000004,30,0,2,1,8,1,0,0,0
169,3,3,179,22,40,343.25300000000004,22,1,2,0,8,1,0,0,0
170,3,4,260,50,36,343.25300000000004,23,0,4,0,4,0,0,0,1
171,3,4,225,26,28,343.25300000000004,24,0,1,2,1,0,0,0,1
172,3,0,279,5,39,343.25300000000004,24,0,2,0,8,1,0,0,0
173,3,1,179,51,38,343.25300000000004,31,0,0,0,24,1,0,0,0
174,3,2,225,26,28,343.25300000000004,24,0,1,2,2,0,0,0,1
175,3,0,225,26,28,343.25300000000004,24,0,1,2,8,1,0,0,0
176,3,0,179,26,30,343.25300000000004,19,1,0,0,1,1,0,0,0
177,3,1,225,26,28,343.25300000000004,24,0,1,2,8,1,0,0,0
178,3,2,225,26,28,343.25300000000004,24,0,1,2,16,1,0,0,0
179,3,2,179,51,38,343.25300000000004,31,0,0,0,3,1,0,0,0
180,3,3,279,5,39,343.25300000000004,24,0,2,0,16,1,0,0,0
181,3,4,225,26,28,343.25300000000004,24,0,1,2,2,0,0,0,1
182,3,4,248,25,47,343.25300000000004,32,0,2,1,3,1,0,0,0
183,3,0,225,26,28,343.25300000000004,24,0,1,2,1,0,0,0,1
184,4,2,291,31,40,326.452,25,0,1,1,1,0,0,0,1
185,4,2,225,26,28,326.452,24,0,1,2,1,0,0,0,1
186,4,1,155,12,34,326.452,25,0,2,0,1,0,0,0,1
187,4,2,246,25,41,326.452,23,0,0,0,24,1,0,0,0
188,4,3,155,12,34,326.452,25,0,2,0,1,0,0,0,1
189,4,4,225,26,28,326.452,24,0,1,2,2,0,0,0,1
190,4,4,260,50,36,326.452,23,0,4,0,4,0,0,0,1
191,4,2,179,51,38,326.452,31,0,0,0,24,1,0,0,0
192,4,3,118,13,50,326.452,31,0,1,0,1,0,0,0,1
193,4,4,291,31,40,326.452,25,0,1,1,3,0,0,0,1
194,4,4,246,25,41,326.452,23,0,0,0,8,1,0,0,0
195,4,4,291,31,40,326.452,25,0,1,1,1,0,0,0,1
196,4,4,248,25,47,326.452,32,0,2,1,8,0,0,0,1
197,4,4,260,50,36,326.452,23,0,4,0,56,0,0,1,0
198,4,1,289,36,33,326.452,30,0,2,1,8,0,0,1,0
199,4,2,155,12,34,326.452,25,0,2,0,24,1,0,0,0
200,4,2,378,49,36,326.452,21,0,2,4,8,0,0,1,0
201,4,3,289,36,33,326.452,30,0,2,1,16,1,0,0,0
202,4,4,235,11,37,326.452,29,1,1,1,3,1,0,0,0
203,4,0,235,29,48,326.452,33,0,1,5,0,0,0,0,0
204,5,2,289,36,33,378.884,30,0,2,1,8,1,0,0,0
205,5,3,155,12,34,378.884,25,0,2,0,2,0,0,0,1
206,5,0,155,12,34,378.884,25,0,2,0,1,0,0,0,1
207,5,1,179,51,38,378.884,31,0,0,0,8,0,0,1,0
208,5,1,225,26,28,378.884,24,0,1,2,8,0,0,1,0
209,5,2,184,42,27,378.884,21,0,0,0,4,1,0,0,0
210,5,0,155,12,34,378.884,25,0,2,0,2,0,0,0,1
211,5,1,179,51,38,378.884,31,0,0,0,1,1,0,0,0
212,5,2,289,36,33,378.884,30,0,2,1,24,1,0,0,0
213,5,2,279,5,39,378.884,24,0,2,0,0,0,0,0,0
214,5,2,330,16,28,378.884,25,1,0,0,0,0,0,0,0
215,5,2,378,49,36,378.884,21,0,2,4,0,0,0,0,0
216,5,2,388,15,50,378.884,24,0,0,0,0,0,0,0,0
217,5,1,179,51,38,378.884,31,0,0,0,1,1,0,0,0
218,5,2,118,13,50,378.884,31,0,1,0,24,1,0,0,0
219,5,4,361,52,28,378.884,27,0,1,4,8,0,0,0,1
220,6,0,246,25,41,377.55,23,0,0,0,8,0,0,1,0
221,6,0,361,52,28,377.55,27,0,1,4,8,0,0,0,1
222,6,1,246,25,41,377.55,23,0,0,0,24,1,0,0,0
223,6,3,291,31,40,377.55,25,0,1,1,4,0,0,0,1
224,6,4,246,25,41,377.55,23,0,0,0,8,1,0,0,0
225,6,0,179,51,38,377.55,31,0,0,0,8,1,0,0,0
226,6,0,155,12,34,377.55,25,0,2,0,4,0,0,0,1
227,6,0,246,25,41,377.55,23,0,0,0,8,1,0,0,0
228,6,2,118,13,50,377.55,31,0,1,0,8,1,0,0,0
229,6,4,235,11,37,377.55,29,1,1,1,16,1,0,0,0
230,6,1,118,13,50,377.55,31,0,1,0,1,0,0,0,1
231,6,2,118,13,50,377.55,31,0,1,0,80,1,0,0,0
232,6,3,378,49,36,377.55,21,0,2,4,8,0,0,0,1
233,6,4,179,51,38,377.55,31,0,0,0,2,1,0,0,0
234,6,0,289,48,49,377.55,36,0,0,2,2,0,0,0,1
235,6,3,225,26,28,377.55,24,0,1,2,2,0,0,0,1
236,7,1,155,12,34,275.312,25,0,2,0,16,0,0,1,0
237,7,2,118,13,50,275.312,31,0,1,0,8,1,0,0,0
238,7,4,118,10,37,275.312,28,0,0,0,8,1,0,0,0
239,7,4,118,10,37,275.312,28,0,0,0,4,0,0,0,1
240,7,1,330,16,28,275.312,25,1,0,0,8,0,0,0,1
241,7,3,179,26,30,275.312,19,1,0,0,8,0,0,1,0
242,7,4,155,12,34,275.312,25,0,2,0,2,0,0,0,1
243,7,0,330,16,28,275.312,25,1,0,0,8,1,0,0,0
244,7,1,330,16,28,275.312,25,1,0,0,8,1,0,0,0
245,7,0,157,27,29,275.312,22,0,0,0,3,0,0,0,1
246,7,1,361,52,28,275.312,27,0,1,4,8,0,0,0,1
247,7,2,289,36,33,275.312,30,0,2,1,8,0,0,0,1
248,7,3,179,51,38,275.312,31,0,0,0,8,0,0,0,1
249,7,0,289,36,33,275.312,30,0,2,1,32,0,0,1,0
250,7,3,289,36,33,275.312,30,0,2,1,8,0,0,1,0
251,7,3,260,50,36,275.312,23,0,4,0,0,0,0,0,0
252,8,3,289,36,33,265.615,30,0,2,1,8,0,0,1,0
253,8,3,157,27,29,265.615,22,0,0,0,3,0,0,1,0
254,8,6,289,36,33,265.615,30,0,2,1,1,0,0,0,1
255,8,0,228,14,58,265.615,22,0,2,1,8,0,0,1,0
256,8,2,300,26,43,265.615,25,0,2,1,1,1,0,0,0
257,8,2,300,26,43,265.615,25,0,2,1,2,1,0,0,0
258,8,3,260,50,36,265.615,23,0,4,0,4,0,0,0,1
259,8,0,289,36,33,265.615,30,0,2,1,4,0,0,0,1
260,8,1,248,25,47,265.615,32,0,2,1,1,0,0,0,1
261,8,2,268,11,33,265.615,25,1,0,0,8,1,0,0,0
262,8,2,179,26,30,265.615,19,1,0,0,1,0,0,0,1
263,8,2,118,13,50,265.615,31,0,1,0,3,1,0,0,0
264,8,6,248,25,47,265.615,32,0,2,1,2,0,0,0,1
265,8,0,235,11,37,265.615,29,1,1,1,1,0,0,0,1
266,8,2,118,13,50,265.615,31,0,1,0,1,0,0,0,1
267,8,2,235,11,37,265.615,29,1,1,1,8,0,0,1,0
268,8,0,361,52,28,265.615,27,0,1,4,8,1,0,0,0
269,8,1,184,42,27,265.615,21,0,0,0,8,1,0,0,0
270,9,0,179,51,38,294.217,31,0,0,0,8,1,0,0,0
271,9,4,179,51,38,294.217,31,0,0,0,3,0,0,0,1
272,9,2,289,36,33,294.217,30,0,2,1,24,0,0,1,0
273,9,3,235,20,43,294.217,38,0,1,0,0,0,0,0,0
274,9,0,246,25,41,294.217,23,0,0,0,16,1,0,0,0
275,9,1,291,31,40,294.217,25,0,1,1,3,0,0,0,1
276,9,1,231,35,39,294.217,35,0,2,2,0,0,0,0,0
277,9,1,291,50,32,294.217,23,0,0,0,0,0,0,0,0
278,9,2,179,51,38,294.217,31,0,0,0,8,1,0,0,0
279,9,2,246,25,41,294.217,23,0,0,0,32,1,0,0,0
280,9,3,179,51,38,294.217,31,0,0,0,1,0,0,0,1
281,9,4,291,31,40,294.217,25,0,1,1,4,0,0,0,1
282,9,4,260,50,36,294.217,23,0,4,0,4,0,0,0,1
283,9,2,235,20,43,294.217,38,0,1,0,8,0,0,0,1
284,9,3,118,13,50,294.217,31,0,1,0,1,0,0,0,1
285,9,3,235,20,43,294.217,38,0,1,0,0,0,0,0,0
286,9,4,291,31,40,294.217,25,0,1,1,3,0,0,0,1
287,9,0,291,31,40,294.217,25,0,1,1,40,1,0,0,0
288,9,0,179,51,38,294.217,31,0,0,0,8,1,0,0,0
289,10,2,289,36,33,265.017,30,0,2,1,8,0,0,0,1
290,10,2,235,11,37,265.017,29,1,1,1,4,0,0,0,1
291,10,2,289,36,33,265.017,30,0,2,1,8,0,0,0,1
292,10,3,289,36,33,265.017,30,0,2,1,8,0,0,0,1
293,10,3,118,13,50,265.017,31,0,1,0,0,0,0,0,0
294,10,3,248,25,47,265.017,32,0,2,1,0,0,0,0,0
295,10,2,179,26,30,265.017,19,1,0,0,8,1,0,0,0
296,10,2,118,10,37,265.017,28,0,0,0,3,1,0,0,0
297,10,2,369,17,31,265.017,25,0,3,0,8,0,0,0,1
298,10,4,179,51,38,265.017,31,0,0,0,1,0,0,0,1
299,10,4,179,26,30,265.017,19,1,0,0,64,1,0,0,0
300,10,4,235,20,43,265.017,38,0,1,0,0,0,0,0,0
301,10,5,289,36,33,265.017,30,0,2,1,16,0,0,1,0
302,10,6,260,50,36,265.017,23,0,4,0,3,0,0,0,1
303,10,6,235,20,43,265.017,38,0,1,0,0,0,0,0,0
304,10,2,235,20,43,265.017,38,0,1,0,2,0,0,0,1
305,10,2,235,20,43,265.017,38,0,1,0,2,0,0,0,1
306,10,3,118,13,50,265.017,31,0,1,0,1,0,0,0,1
307,10,3,291,31,40,265.017,25,0,1,1,4,0,0,0,1
308,10,5,179,26,30,265.017,19,1,0,0,16,0,0,0,1
309,10,5,118,13,50,265.017,31,0,1,0,1,0,0,0,1
310,10,2,361,52,28,265.017,27,0,1,4,8,1,0,0,0
311,10,3,260,50,36,265.017,23,0,4,0,0,0,0,0,0
312,10,3,291,31,40,265.017,25,0,1,1,0,0,0,0,0
313,10,3,157,27,29,265.017,22,0,0,0,0,0,0,0,0
314,10,4,179,26,30,265.017,19,1,0,0,5,1,0,0,0
315,10,4,179,26,30,265.017,19,1,0,0,5,1,0,0,0
316,10,5,118,13,50,265.017,31,0,1,0,1,0,0,0,1
317,11,0,118,10,37,284.031,28,0,0,0,8,1,0,0,0
318,11,0,248,25,47,284.031,32,0,2,1,2,0,0,0,1
319,11,1,179,51,38,284.031,31,0,0,0,8,1,0,0,0
320,11,4,260,50,36,284.031,23,0,4,0,3,0,0,0,1
321,11,0,291,31,40,284.031,25,0,1,1,1,0,0,0,1
322,11,0,378,49,36,284.031,21,0,2,4,8,1,0,0,0
323,11,0,155,12,34,284.031,25,0,2,0,120,1,0,0,0
324,11,0,235,20,43,284.031,38,0,1,0,8,0,0,0,1
325,11,1,330,16,28,284.031,25,1,0,0,0,0,0,0,0
326,11,2,235,11,37,284.031,29,1,1,1,1,0,0,1,0
327,11,2,118,10,37,284.031,28,0,0,0,3,1,0,0,0
328,11,3,235,11,37,284.031,29,1,1,1,2,0,0,0,1
329,11,3,179,51,38,284.031,31,0,0,0,3,0,0,0,1
330,11,4,246,25,41,284.031,23,0,0,0,8,1,0,0,0
331,11,4,291,31,40,284.031,25,0,1,1,4,1,0,0,0
332,11,0,246,25,41,284.031,23,0,0,0,8,1,0,0,0
333,11,1,179,51,38,284.031,31,0,0,0,1,0,0,0,1
334,11,2,260,50,36,284.031,23,0,4,0,8,1,0,0,0
335,11,4,260,50,36,284.031,23,0,4,0,8,0,1,0,0
336,11,4,378,49,36,284.031,21,0,2,4,0,0,0,0,0
337,11,1,279,5,39,284.031,24,0,2,0,0,0,0,0,0
338,11,3,179,51,38,284.031,31,0,0,0,1,0,0,0,1
339,12,0,225,26,28,236.62900000000002,24,0,1,2,3,1,0,0,0
340,12,0,179,51,38,236.62900000000002,31,0,0,0,2,0,0,0,1
341,12,0,179,51,38,236.62900000000002,31,0,0,0,1,0,0,0,1
342,12,0,235,11,37,236.62900000000002,29,1,1,1,3,0,0,0,1
343,12,1,118,13,50,236.62900000000002,31,0,1,0,1,0,0,0,1
344,12,4,260,50,36,236.62900000000002,23,0,4,0,4,0,0,0,1
345,12,3,246,25,41,236.62900000000002,23,0,0,0,8,1,0,0,0
346,12,3,179,51,38,236.62900000000002,31,0,0,0,1,0,0,0,1
347,12,4,179,51,38,236.62900000000002,31,0,0,0,1,0,0,0,1
348,12,1,179,26,30,236.62900000000002,19,1,0,0,1,0,0,0,1
349,12,1,118,10,37,236.62900000000002,28,0,0,0,8,0,0,0,1
350,12,3,235,11,37,236.62900000000002,29,1,1,1,2,0,0,0,1
351,12,4,179,51,38,236.62900000000002,31,0,0,0,1,0,0,0,1
352,12,1,235,20,43,236.62900000000002,38,0,1,0,8,1,0,0,0
353,12,1,235,11,37,236.62900000000002,29,1,1,1,4,1,0,0,0
354,12,2,260,50,36,236.62900000000002,23,0,4,0,8,0,0,0,1
355,12,0,157,27,29,236.62900000000002,22,0,0,0,2,0,0,0,1
356,12,0,179,51,38,236.62900000000002,31,0,0,0,3,0,0,0,1
357,12,0,289,36,33,236.62900000000002,30,0,2,1,8,0,0,1,0
358,1,2,225,26,28,330.061,24,0,1,2,5,0,0,0,1
359,1,0,118,10,37,330.061,28,0,0,0,32,0,0,1,0
360,1,0,155,12,34,330.061,25,0,2,0,2,0,0,0,1
361,1,1,235,11,37,330.061,29,1,1,1,1,1,0,0,0
362,1,1,155,12,34,330.061,25,0,2,0,4,0,0,0,1
363,1,0,289,36,33,330.061,30,0,2,1,8,0,0,0,1
364,1,2,291,31,40,330.061,25,0,1,1,8,1,0,0,0
365,1,0,235,20,43,330.061,38,0,1,0,8,0,0,0,1
366,1,0,118,13,50,330.061,31,0,1,0,4,0,0,0,1
367,1,2,179,51,38,330.061,31,0,0,0,1,0,0,0,1
368,1,4,179,51,38,330.061,31,0,0,0,1,0,0,0,1
369,2,1,118,10,37,251.81799999999998,28,0,0,0,2,0,0,0,1
370,2,2,179,51,38,251.81799999999998,31,0,0,0,3,0,0,0,1
371,2,2,225,26,28,251.81799999999998,24,0,1,2,1,1,0,0,0
372,2,4,289,36,33,251.81799999999998,30,0,2,1,3,0,0,0,1
373,2,4,260,50,36,251.81799999999998,23,0,4,0,3,0,0,0,1
374,2,4,179,51,38,251.81799999999998,31,0,0,0,3,0,0,0,1
375,2,0,179,51,38,251.81799999999998,31,0,0,0,2,0,0,0,1
376,2,2,179,51,38,251.81799999999998,31,0,0,0,3,0,0,0,1
377,2,3,179,51,38,251.81799999999998,31,0,0,0,8,1,0,0,0
378,2,3,246,25,41,251.81799999999998,23,0,0,0,8,0,0,0,1
379,2,4,179,51,38,251.81799999999998,31,0,0,0,3,0,0,0,1
380,2,0,189,29,33,251.81799999999998,25,0,2,2,8,0,0,0,1
381,2,0,179,51,38,251.81799999999998,31,0,0,0,3,0,0,0,1
382,2,1,246,25,41,251.81799999999998,23,0,0,0,2,0,0,0,1
383,2,1,291,31,40,251.81799999999998,25,0,1,1,2,0,0,0,1
384,2,2,157,27,29,251.81799999999998,22,0,0,0,16,1,0,0,0
385,2,2,179,51,38,251.81799999999998,31,0,0,0,3,0,0,0,1
386,2,4,179,51,38,251.81799999999998,31,0,0,0,3,0,0,0,1
387,2,4,246,25,41,251.81799999999998,23,0,0,0,24,1,0,0,0
388,2,2,179,51,38,251.81799999999998,31,0,0,0,3,0,0,0,1
389,2,4,179,51,38,251.81799999999998,31,0,0,0,3,0,0,0,1
390,3,1,118,10,37,244.387,28,0,0,0,8,0,0,1,0
391,3,2,246,25,41,244.387,23,0,0,0,16,0,0,1,0
392,3,4,246,25,41,244.387,23,0,0,0,2,0,0,0,1
393,3,4,260,50,36,244.387,23,0,4,0,4,0,0,0,1
394,3,0,179,51,38,244.387,31,0,0,0,2,0,0,0,1
395,3,0,235,11,37,244.387,29,1,1,1,8,0,0,0,1
396,3,1,179,22,40,244.387,22,1,2,0,8,0,0,0,1
397,3,1,378,49,36,244.387,21,0,2,4,8,0,0,0,1
